id,category,subcategory,rule_text,date_updated,fee_amounts_jpy,links,audience,ai_can_answer,requires_fee_disclaimer,needs_review,review_reason,source
F001,CS FEEDBACK: Internet / APN,Mobile data not working — step 1,"If mobile data is not working, first check that Mobile Data is turned ON and Airplane Mode is turned OFF.",2026-08-06,,,customer,True,False,False,,CS feedback docx (Aug 2026)
F002,CS FEEDBACK: Internet / APN,Mobile data not working — step 2,Verify that the APN settings match the recommended configuration for the customer plan.,2026-08-06,,,customer,True,False,False,,CS feedback docx (Aug 2026)
F003,CS FEEDBACK: Internet / APN,Mobile data not working — step 3,Restart the device: restarting the phone refreshes the network connection and often resolves the issue.,2026-08-06,,,customer,True,False,False,,CS feedback docx (Aug 2026)
F004,CS FEEDBACK: Internet / APN,Mobile data not working — step 4,"Reseat the SIM card: turn the device off, remove and reinsert the SIM card, turn it back on, then set up the APN again.",2026-08-06,,,customer,True,False,False,,CS feedback docx (Aug 2026)
F005,CS FEEDBACK: Internet / APN,Mobile data not working — after steps,"If APN settings are already correct and mobile data is still unavailable, the issue needs further verification: hand over to customer support.",2026-08-06,,,customer,True,False,False,,CS feedback docx (Aug 2026)
F006,CS FEEDBACK: Internet / APN,Pocket WiFi cannot connect — steps,"If a device cannot connect to the pocket WiFi: (1) restart the pocket WiFi (off, wait 30 seconds, on), (2) restart the phone/tablet/computer and reconnect, (3) confirm WiFi is enabled and the correct SSID is selected, (4) re-enter the WiFi password, (5) move closer to the pocket WiFi for a stronger signal.",2026-08-06,,,customer,True,False,False,,CS feedback docx (Aug 2026)
F007,CS FEEDBACK: Internet / APN,Pocket WiFi reset,"To reset a pocket WiFi: QUICK MENU > SETTINGS > MAINTENANCE > INITIALIZE, wait for the reset to finish, then choose English, answer YES to the usage question, and select NO in the Setup Wizard.",2026-08-06,,,customer,True,False,False,,CS feedback docx (Aug 2026)
F008,CS FEEDBACK: Internet / APN,Pocket WiFi power and connection,Pocket WiFi: hold the power button for 3 seconds to power on/off. The WiFi name (SSID) and password are in the Information Menu under WiFi.,2026-08-06,,,customer,True,False,False,,CS feedback docx (Aug 2026)
F009,CS FEEDBACK: Internet / APN,Home WiFi L-11 / L-12 / L-13,"Home WiFi devices (L-11, L-12, L-13) power on automatically when plugged into a power outlet. The WiFi name (SSID) and password are printed underneath the device.",2026-08-06,,,customer,True,False,False,,CS feedback docx (Aug 2026)
F010,CS FEEDBACK: Internet / APN,APN also applies to pocket WiFi,"APN configuration also applies to some pocket WiFi devices, not only to phones.",2026-08-06,,,customer,True,False,False,,CS feedback docx (Aug 2026)
