id,category,subcategory,rule_text,date_updated,fee_amounts_jpy,links,audience,ai_can_answer,requires_fee_disclaimer,needs_review,review_reason
R001,Links,,Links that will help you to fully understand each plan that the company offers.,,,,internal,False,False,False,
R002,Links,,"Products, Price and Promotions | Refer to this link and do not share to customers",,,https://sites.google.com/view/mashuprjapan/home,internal,False,False,False,
R003,Links,,Rules and Regulation MUR | Original Rules and Regulations,,,https://docs.google.com/spreadsheets/d/1RadFjVMq9DUffX-xN6aCaKG1I7h1VTJYC0AGx11DUT0/edit,internal,False,False,False,
R004,Links,,Rules and Requirements for each Plan | Refer to this link and look for Rules and Requirements for each Plan [Tab] for the specific rules and requirements for each plan,,,https://docs.google.com/spreadsheets/u/0/d/1RadFjVMq9DUffX-xN6aCaKG1I7h1VTJYC0AGx11DUT0/edit,internal,False,False,False,
R005,Links,,"HOW to: | Guides on HOW the products, etc. works",,,https://drive.google.com/drive/folders/1tTj2-gYr7NOp0tFBhdHA3i54H077-pbl,internal,False,False,False,
R006,Links,,VDM Japan SIM Channel | Tutorial videos of our products that can be found in youtube channel,,,https://www.youtube.com/channel/UCJcDvrobLZTql1M3hoqJIDg/videos,internal,False,False,False,
R007,Links,,"KINTONE Status | Refer to this link and look for KINTONE Status [Tab] for Common and Other Kintone status, its meaning and action required",,,https://docs.google.com/spreadsheets/d/1RadFjVMq9DUffX-xN6aCaKG1I7h1VTJYC0AGx11DUT0/edit,internal,False,False,False,
R008,Links,,"Types of Plan and Kintone Code | Refer to this link for plan types, Kintone codes, and their corresponding providers.",,,https://docs.google.com/spreadsheets/d/1JlhM4QCSsVjKWtnapWoSNcm1PW9TAd6u1aGlL9By9hE/edit?gid=0,internal,False,False,False,
R009,Links,,"Links that can help your customers, DS and Affiliates on their querries, concerns and issues",,,,internal,False,False,False,
R010,Links,,MashUpRSupportPage | Mash-Up R Support FB Page,,,https://www.facebook.com/MashUpRSupportPage/,customer,True,False,False,
R011,Links,,VDMSupport | VDM Support FB Page,,,https://www.facebook.com/VDMSupport/,customer,True,False,False,
R012,Links,,MUR Sim FB | Support Page for rewards,,,https://www.facebook.com/profile.php?id=100087609069894,customer,True,False,False,
R013,Links,,2022mur@gmail.com | Support- email address (MUR),,,mailto:2022mur@gmail.com,customer,True,False,False,
R014,Links,,23vdm.jp@gmail.com | Support- email address (VDM),,,mailto:23vdm.jp@gmail.com,customer,True,False,False,
R015,Links,,@976hvcff | Support- LINE account,,,,customer,True,False,False,
R016,Links,,81 80 7154 3261 | Support- Whatsapp account,,,,customer,True,False,False,
R017,GENERAL RULES,GENERAL RULES,Date Implemented/updated | RULES,,,,customer,True,False,False,
R018,GENERAL RULES,GENERAL RULES,Payment Methods: Poster and Video Tutorials,,,,customer,True,False,False,
R019,GENERAL RULES,Monthly payment via Smartpit,1. TUTORIAL : HOW TO PAY MONTHLY INTERNET VIA SMARTPIT | ENGLISH VERSION,,,https://www.youtube.com/watch?v=P6BdaR8BThc,customer,True,False,False,
R020,GENERAL RULES,Monthly payment via Smartpit,1. Poster : HOW TO PAY MONTHLY INTERNET VIA SMARTPIT | ENGLISH VERSION,,,https://drive.google.com/file/d/1wj4CoaB1EA-tTxY2jyjpPwh8rCj3EX4s/view?usp=drive_link,customer,True,False,False,
R021,GENERAL RULES,Monthly payment via Smartpit,1.2 Poster: CARA PEMBAYARAN INTERNET BULANAN DENGAN MESIN SMARTPIT | EDISI BAHASA INGGRIS,,,https://drive.google.com/file/d/1wj4CoaB1EA-tTxY2jyjpPwh8rCj3EX4s/view?usp=drive_link,customer,True,False,False,
R022,GENERAL RULES,Monthly payment via GMO bank transfer,2.A. TUTORIAL : HOW TO PAY MONTHLY TRANSFER TO GMO VIA ATM,,,https://youtu.be/ITy3badQNYY?feature=shared,customer,True,False,False,
R023,GENERAL RULES,Monthly payment via GMO bank transfer,2.1. Poster: HOW TO PAY MONTHLY TRANSFER TO GMO VIA ATM,,,https://drive.google.com/file/d/1QA_miWj0q8e6ETX9UxRpNCEK4I9LIYt-/view?usp=drive_link,customer,True,False,False,
R024,GENERAL RULES,Monthly payment via GMO bank transfer,2.2 TUTORIAL : BAGAIMANA CARA MEMBAYAR TRANSFER BULANAN KE BANK GMO LEWAT ATM,,,https://youtu.be/p8Ev7MFOkl8?feature=shared,customer,True,False,False,
R025,GENERAL RULES,Monthly payment via GMO bank transfer,2.3 Poster: CARA PEMBAYARAN INTERNET BULANAN DENGAN GMO MELALUI ATM,,,https://drive.google.com/file/d/1wp75F6MaISZepREdbWOfylxzmBpo1wuj/view?usp=drive_link,customer,True,False,False,
R026,GENERAL RULES,Monthly payment via GMO bank transfer,2.B. Poster: HOW TO PAY MONTHLY TRANSFER TO GMO Smartphone,,,https://drive.google.com/file/d/1EPVb3N-4Xi_4eMZPGQGcplmGZhH19DV3/view?usp=drive_link,customer,True,False,False,
R027,GENERAL RULES,Monthly payment via GMO bank transfer,2.1. CARA PEMBAYARAN INTERNET BULANAN DENGAN GMO MELALUI Smartphone,,,https://drive.google.com/file/d/1lJhU14gs60DT2bDaq87hXxyrufqEFPAI/view?usp=drive_link,customer,True,False,False,
