id,category,subcategory,rule_text,date_updated,fee_amounts_jpy,links,audience,ai_can_answer,requires_fee_disclaimer,needs_review,review_reason
P001,PLAN FILE: Replacement and Change Plan Rul,REPLACEMENT AND CHANGE PLAN,Date updated | PRODUCT CATEGORY,,,,customer,True,False,False,
P002,PLAN FILE: Replacement and Change Plan Rul,REPLACEMENT AND CHANGE PLAN,"ALL | if change on the 1st of the month , PLAN CHANGE IS 2500 YEN",2022-11-18,2500,,customer,True,True,False,
P003,PLAN FILE: Replacement and Change Plan Rul,REPLACEMENT AND CHANGE PLAN,"ALL | if change in middle of the month , PLAN CHANGE is PLAN CHANGE : NEW PLAN MONTHLY+ 700 YEN (shipping fee) . change plan fee does not include monthly payment , monthly payment continue from previous smartpit",2022-11-18,700,,customer,True,True,False,
P004,PLAN FILE: Replacement and Change Plan Rul,REPLACEMENT AND CHANGE PLAN,"ALL | if change plan to POCKET WIFI , 2500 + POCKET RENTAL FEE",2022-11-18,,,customer,True,False,False,
P005,PLAN FILE: Replacement and Change Plan Rul,REPLACEMENT AND CHANGE PLAN,"ALL | if change plan from POCKET WIFI to POCKET WIFI , + POCKET RENTAL FEE",2022-11-18,,,customer,True,False,False,
P006,PLAN FILE: Replacement and Change Plan Rul,REPLACEMENT AND CHANGE PLAN,POCKETWIFI | POCKET RENTAL FEE please refer to click here,2022-11-18,,,customer,True,False,False,
P007,PLAN FILE: Replacement and Change Plan Rul,REPLACEMENT AND CHANGE PLAN,"POCKETWIFI | if pocket wifi rented is damage/broken after 1 month of usage due to customer negligence , Device Replacement fee need to be settled",2022-11-18,,,customer,True,False,False,
P008,PLAN FILE: Replacement and Change Plan Rul,REPLACEMENT AND CHANGE PLAN,POCKETWIFI | POCKET WIFI DEVICE REPLACEMENT FEE please click here to refer,2022-11-18,,,customer,True,False,False,
P009,PLAN FILE: Replacement and Change Plan Rul,REPLACEMENT AND CHANGE PLAN,"VOICESIM | if change from no-deposit plan to deposit plan, +DEPOSIT FEE",2022-11-18,,,customer,True,False,False,
P010,PLAN FILE: Replacement and Change Plan Rul,REPLACEMENT AND CHANGE PLAN,ALL | C Plan change to A Plan is not possible,2022-11-18,,,customer,True,False,False,
P011,PLAN FILE: Replacement and Change Plan Rul,REPLACEMENT AND CHANGE PLAN,"VOICESIM | Change plan from non deposit plan to CALL SIM (EASYCALL/UVCALL/DCALL/S-CALL) with deposit , deposit need to be added",2022-11-18,,,customer,True,False,False,
P012,PLAN FILE: Replacement and Change Plan Rul,REPLACEMENT AND CHANGE PLAN,"ALL | Change plan from non deposit to plan with deposit (other than CALL SIM (EASYCALL/UVCALL/DCALL/S-CALL), deposit is not required (normal change plan fee only applies)",2022-11-18,,,customer,True,False,False,
P013,PLAN FILE: Replacement and Change Plan Rul,REPLACEMENT AND CHANGE PLAN,ALL | ⚠️OLD PLAN must be returned immediately within 7 days,2022-11-18,,,customer,True,False,False,
P014,PLAN FILE: Replacement and Change Plan Rul,REPLACEMENT AND CHANGE PLAN,"ALL | ⚠️If OLD PLAN is REISSUED , 3300 yen+ MONTHLY FEE will be charged",2022-11-18,3300,,customer,True,True,False,
P015,PLAN FILE: Replacement and Change Plan Rul,REPLACEMENT AND CHANGE PLAN,"ALL | when CHANGE PLAN , SMARTPIT NUMBER will still be the SAME , customer number will CHANGE",2022-11-18,,,customer,True,False,False,
P016,PLAN FILE: Replacement and Change Plan Rul,REPLACEMENT AND CHANGE PLAN,ALL | Please make sure to collect ICCID/CHIP number and smartpit number to ensure no mistake during replacement,2022-11-18,,,customer,True,False,False,
P017,PLAN FILE: Replacement and Change Plan Rul,REPLACEMENT AND CHANGE PLAN,"ALL | Please inform customer DO NOT SEND the SMARTPIT CARD , upon replacement , only the old device",2022-11-18,,,customer,True,False,False,
P018,PLAN FILE: Replacement and Change Plan Rul,REPLACEMENT AND CHANGE PLAN,"DCALL | D-CALL PLAN to D-CALL PLAN is FREE, simcard does not need to change , plan change start from 1st of the following month with new bill (input in ALL REQUEST)",2022-11-18,,,internal,False,False,True,auto-tagged internal (staff-ops keyword) - confirm
P019,PLAN FILE: Replacement and Change Plan Rul,REPLACEMENT AND CHANGE PLAN,"EASYCALL | EASY-CALL PLAN to EASY-CALL PLAN is FREE , simcard does not need to change , plan change start from 1st of the following month with new bill (input in ALL REQUEST)",2022-11-18,,,internal,False,False,True,auto-tagged internal (staff-ops keyword) - confirm
P020,PLAN FILE: Replacement and Change Plan Rul,REPLACEMENT AND CHANGE PLAN,"SCALL | S-CALL PLAN to S-CALL PLAN is 2000 yen , simcard does not need to change , plan change start from 1st of the following month with new bill (input in ALL REQUEST , 2000 need to be paid on SMARTPIT)",2022-11-18,2000,,internal,False,False,True,auto-tagged internal (staff-ops keyword) - confirm
P021,PLAN FILE: Replacement and Change Plan Rul,REPLACEMENT AND CHANGE PLAN,"ALL | A PLAN to C PLAN or B PLAN to C PLAN is 3300 yen , simcard does not need to change . monthly fee will be changed on next bill after 3300 yen paid on smartpit",2022-11-18,3300;3300,,customer,True,True,False,
P022,PLAN FILE: Replacement and Change Plan Rul,REPLACEMENT AND CHANGE PLAN,"ALL | PUK lock will be charged ¥3300, we will send new one (unless PUK locked upon receiving, its free)",2022-11-18,3300,,customer,True,True,False,
P023,PLAN FILE: Replacement and Change Plan Rul,REPLACEMENT AND CHANGE PLAN,ALL | PUK PIN can be informed by request on ALL REQUEST (2-3 Working days is required),2022-11-18,,,internal,False,False,True,auto-tagged internal (staff-ops keyword) - confirm
P024,PLAN FILE: Replacement and Change Plan Rul,REPLACEMENT AND CHANGE PLAN,"DATASIM | if number cannot receive sms , replacement is free ,but if the sim returned and upon checking its phone's fault , additional charge will be added to the next bill",2022-11-24,,,customer,True,False,False,
P025,PLAN FILE: Replacement and Change Plan Rul,REPLACEMENT AND CHANGE PLAN,ALL | if number has been used for registration on line/amazon/other app . replacement is free,2022-11-18,,,customer,True,False,False,
P026,PLAN FILE: Replacement and Change Plan Rul,REPLACEMENT AND CHANGE PLAN,"DATASIM | If add BRASTEL 050 only, COD is 2500 yen, monthly fee. +300 yen",2022-11-24,2500;300,,customer,True,True,True,contains COD/discount amount - confirm AI exposure policy
P027,PLAN FILE: Replacement and Change Plan Rul,REPLACEMENT AND CHANGE PLAN,"7GB A SIM | If customer complaint about cannot receive sms, plan change is 1000 yen to 1gb,3gb,5gb,10gb",2022-11-24,1000,,customer,True,True,False,
P028,PLAN FILE: Replacement and Change Plan Rul,REPLACEMENT AND CHANGE PLAN,"ALL | change plan fee does not include monthly payment , monthly payment continue from previous smartpit",2022-11-29,,,customer,True,False,False,
P029,PLAN FILE: Replacement and Change Plan Rul,REPLACEMENT AND CHANGE PLAN,"ALL | change plan , billing period follow ORIGINAL billing period",2022-12-13,,,customer,True,False,False,
P030,PLAN FILE: Replacement and Change Plan Rul,REPLACEMENT AND CHANGE PLAN,ALL | delivery discount is not applicable for CHANGE PLAN/replacement procedures,2022-12-13,,,customer,True,False,False,
P031,PLAN FILE: Replacement and Change Plan Rul,REPLACEMENT AND CHANGE PLAN,POCKETWIFI | change pocket device form 501hw to W06 without valid issues will be charged 3300 yen (valid issues include: no coverage),2022-12-27,3300,,customer,True,True,False,
P032,PLAN FILE: Replacement and Change Plan Rul,REPLACEMENT AND CHANGE PLAN,"POCKETWIFI | If AU UNLIMITED 50GB/3DAYS is not working because customer change to +A , replacement is MONTHLY FEE + 700 YEN . old item must be returned within 7 days after new arrive, failure to return will result in internet stop for the new wifi",2023-03-23,700,,customer,True,True,False,
P033,PLAN FILE: Replacement and Change Plan Rul,REPLACEMENT AND CHANGE PLAN,"POCKETWIFI | if only add Pocket wifi to be send ,WITHOUT SIM, its 2000JPY (JT101/W06/WX04/W05)",2023-04-21,,,customer,True,False,False,
P034,PLAN FILE: Replacement and Change Plan Rul,REPLACEMENT AND CHANGE PLAN,"POCKETWIFI | if add Pocket wifi to be send ,WITH SIM,follow row7",2023-04-21,,,customer,True,False,False,
P035,PLAN FILE: Replacement and Change Plan Rul,REPLACEMENT AND CHANGE PLAN,"06/20/2023 | DATASIM | Brastel plan+data sim change to data sim only-same GB (monthly bill will change on the following month - Request to AR, no change plan fee, No account cancellation require, Need to return Brastel card only)",,,,internal,False,False,True,auto-tagged internal (staff-ops keyword) - confirm
P036,PLAN FILE: Replacement and Change Plan Rul,REPLACEMENT AND CHANGE PLAN,"06/20/2023 - deleted 8/4/2023 | ALL | For no. 4 and no. 5. Change plan must be processed/deliver after billing due date if customer wants to pay the old monthly fee. (EX. Plan C-C, 16th-25th - Delivery date must beyond billing due date (25th onwards)",,,,customer,True,False,False,
P037,PLAN FILE: Replacement and Change Plan Rul,REPLACEMENT AND CHANGE PLAN,"ALL | If change plan, new monthly fee will be applied next month, regardless if changes is made before or after billing due date (this rules is not applicable for changes made on 1st of the month , in case of change to new plan on 1st of december, december bill will be new plan monthly fee)",2023-12-28,,,customer,True,False,False,
P038,PLAN FILE: Replacement and Change Plan Rul,REPLACEMENT AND CHANGE PLAN,ALL | Change plan within 7 days after purchase /wrong delivery of item/sim does not support/sim/device cannot be used)- Old Cash out price less New cash out price will be the NEW COD. If old cash out price is higher than the new cash out price- (amount difference is Not refundable),2023-12-08,,,customer,True,False,True,strikethrough text removed - confirm current wording
P039,PLAN FILE: Replacement and Change Plan Rul,REPLACEMENT AND CHANGE PLAN,"EASYCALL | EASY CALL change to D - CALL , simcard need to exchange, normal change plan fee will be applied",2023-08-25,,,customer,True,False,False,
P040,PLAN FILE: Replacement and Change Plan Rul,REPLACEMENT AND CHANGE PLAN,"ALL | In case of Change monthly fee from OLD PRICE to NEW PRICE with same plan , normal change plan fee exclude shipping fee will be applied , the fee can be paid via smartpit/bank transfer . sim will not change , request in ALL REQUEST",2023-09-08,,,internal,False,False,True,auto-tagged internal (staff-ops keyword) - confirm
P041,PLAN FILE: Replacement and Change Plan Rul,REPLACEMENT AND CHANGE PLAN,POCKETWIFI | Change plan fee for Unlimited 50Gb/3 days POCKET to HOME or HOME to POCKET computation= arrival on 1st of the month (device rental fee ( ¥9160) + ¥2500 / arrival on Mid of the month (device rental fee ( ¥9160) + monthly fee ( ¥5480) + shipping fee ( ¥700),2024-05-01,9160;2500;9160;5480;700,,customer,True,True,False,
P042,PLAN FILE: Replacement and Change Plan Rul,REPLACEMENT AND CHANGE PLAN,POCKETWIFI | If change from Unlimited 50Gb/3Days POCKET to HOME - device rental fee ¥9160 will be discounted to monthly bill if the old device returned within 3 days upon receiving the new (provide picture as proof of return just in case the item was lost ),2024-05-01,9160,,customer,True,True,True,contains COD/discount amount - confirm AI exposure policy
P043,PLAN FILE: Replacement and Change Plan Rul,REPLACEMENT AND CHANGE PLAN,"6/14/2024 | POCKETWIFI | Changing the plan from AU UNLIMITED 5G (50GB/3 days) WiFi starting from arrival on Oct. 14, 2023, to a 100GB plan or another plan is FREE of charge if the signal does not support it within 7 days. Please ask for approval in the #mur-discount-confirmation channel. The deposit will follow the new plan (e.g., if changing to the 100GB SIM, the deposit will be 3300 yen).",,3300,,internal,False,False,True,auto-tagged internal (staff-ops keyword) - confirm; contains COD/discount amount - confirm AI exposure policy
P044,PLAN FILE: Replacement and Change Plan Rul,REPLACEMENT AND CHANGE PLAN,11/25/2024 | ALL | Any plan change within 7 days of purchase will follow the billing terms of the new plan chosen.,,,,customer,True,False,False,
P045,PLAN FILE: Replacement and Change Plan Rul,REPLACEMENT AND CHANGE PLAN,Plan GI and Plan SK- Sim card | Similar with Plan C and Plan T,2024-12-08,,,customer,True,False,False,
P046,PLAN FILE: Replacement and Change Plan Rul,REPLACEMENT AND CHANGE PLAN,Plan GI and SK - Pocket wifi | Similar with Plan C and Plan T,2024-12-08,,,customer,True,False,False,
P047,PLAN FILE: Replacement and Change Plan Rul,REPLACEMENT AND CHANGE PLAN,"3/21/2025 | VOICECALL | UD-sim Easy call to UD-sim Easy Call, change plan fee is 1500 Yen (added to next bill), sim card does not need to change, plan change start from 1st of the following month with new bill (input in U-sim All REQUEST)",,1500,,internal,False,False,True,auto-tagged internal (staff-ops keyword) - confirm
P048,PLAN FILE: Replacement and Change Plan Rul,REPLACEMENT AND CHANGE PLAN,"3/21/2025 | VOICECALL | UD-sim Easy call to UD-sim FREE Call, change plan fee is 1500 Yen (added to next bill), sim card does not need to change, plan change start from 1st of the following month with new bill (input in U-sim All REQUEST)",,1500,,internal,False,False,True,auto-tagged internal (staff-ops keyword) - confirm
P049,PLAN FILE: Replacement and Change Plan Rul,REPLACEMENT AND CHANGE PLAN,3/21/2025 | VOICECALL | UD-sim Easy call to URM UNLIMITED INTERNET EASY CALL (Different plan type) - invalid change plan (not applicable),,,,customer,True,False,False,
P050,PLAN FILE: Replacement and Change Plan Rul,REPLACEMENT AND CHANGE PLAN,"3/21/2025 | VOICECALL | Change plan request for UD-sim Easy call to UD-sim Easy Call / UD-sim Easy call to UD-sim FREE Call request must be submitted 7 days before the effective date of change plan. e.g. Change plan effective date: May 1, 2025, the request must be submitted on or before April 23, 2025",,,,internal,False,False,True,auto-tagged internal (staff-ops keyword) - confirm
P051,PLAN FILE: Replacement and Change Plan Rul,REPLACEMENT AND CHANGE PLAN,"8/23/2025 | ALL | If a URC user submits a signal complaint, a free exchange can be offered with either SB or AU5G. Starting September 1, 2025",,,,customer,True,False,False,
P052,PLAN FILE: Replacement and Change Plan Rul,REPLACEMENT AND CHANGE PLAN,ALL | For Discontinued Plans (When Stock Is Unavailable) - Free replacement will be provided based on the following conditions: - SIM ⇔ SIM only - Wi-Fi ⇔ Wi-Fi only - SIM ⇔ Wi-Fi exchanges are not allowed (not covered by free replacement). *The new plan’s monthly fee will apply after replacement. *Discount Group approval is required before any free replacement. *Customer-requested changes (not due to malfunction) are not covered by this rule.,2025-01-11,,,customer,True,False,False,
P053,PLAN FILE: KINTONE Status,,Common KINTONE STATUS | MEANING | ACTION REQUIRED,,,,internal,False,False,False,
P054,PLAN FILE: KINTONE Status,,"IN USE | Signal is IN USE and Active | Currently use by customer, need to pay on time to keep this signal",,,,internal,False,False,False,
P055,PLAN FILE: KINTONE Status,,IN USE with Resume date (applied) | In case of still no signal after 2-3 working days | Request in AR to check and to resume signal again,,,,internal,False,False,False,
P056,PLAN FILE: KINTONE Status,,For Re-issue - Unpaid | Signal is in STOPPED due to unpaid bill | Customer need to pay within 7 days from the stop date to resume the signal,,,,internal,False,False,False,
P057,PLAN FILE: KINTONE Status,,MUST RETURN | Signal is in STOPPED due to must return item | Customer need to return within 7 days,,,,internal,False,False,False,
P058,PLAN FILE: KINTONE Status,,"For Re-issue - Must Return | Signal is in STOPPED due to unreturned | Customer need to return within 7 days from the stop date to cancel, if not it will be Re-issued",,,,internal,False,False,False,
P059,PLAN FILE: KINTONE Status,,"For Re-issue - Lost sim | Signal is in STOPPED due to lost item | Cannot be cancelled, need to pay Lost fee refer to | LOST ITEM RULES tab",,,https://docs.google.com/spreadsheets/d/1pt19mp4IuTI4k2ufoaETrBdwbQA7jbwSQJJ6vYMCwig/edit,internal,False,False,False,
P060,PLAN FILE: KINTONE Status,,"IN USE: To-be Re-issue | No payment within 7 days from Stop date. Signal is for PERMANENTLY Disconnection (Re-issue) | Can still request to resume signal after payment, but need to ask AR first if re-issue list is not yet submitted to provider",,,,internal,False,False,False,
P061,PLAN FILE: KINTONE Status,,"-If already sent, signal cannot be resume (Re-issue already)",,,,internal,False,False,False,
P062,PLAN FILE: KINTONE Status,,"IN USE: For Cancellation | No payment within 7 days from Stop date. Signal is for permanently disconnection (Re-issue) | Can still request to resume signal after payment, but need to ask AR first if re-issue list is not yet submitted to provider",,,,internal,False,False,False,
P063,PLAN FILE: KINTONE Status,,"- for Cancel Contract to Provider | -If already sent, signal cannot be resume (cancel contract already)",,,,internal,False,False,False,
P064,PLAN FILE: KINTONE Status,,RE-ISSUING: Waiting new sim | Permanently disconnected | Customer need to pay Termination Fee (re-issue fee) refer to | Re-issue Rule tab,,,https://docs.google.com/spreadsheets/d/1pt19mp4IuTI4k2ufoaETrBdwbQA7jbwSQJJ6vYMCwig/edit,internal,False,False,False,
P065,PLAN FILE: KINTONE Status,,RE-ISSUE | Permanently disconnected | Customer need to pay Termination Fee (re-issue fee) refer to | Re-issue Rule tab,,,https://docs.google.com/spreadsheets/d/1pt19mp4IuTI4k2ufoaETrBdwbQA7jbwSQJJ6vYMCwig/edit,internal,False,False,False,
P066,PLAN FILE: KINTONE Status,,NOT AVAILABLE: Cancel Contract | Permanently disconnected | Customer need to pay Termination Fee (re-issue fee) refer to | Re-issue Rule tab,,,https://docs.google.com/spreadsheets/d/1pt19mp4IuTI4k2ufoaETrBdwbQA7jbwSQJJ6vYMCwig/edit,internal,False,False,False,
P067,PLAN FILE: KINTONE Status,- office sent final cancel list to provider,"RETURN: Stop Contract after 4 months | Returned item from old customer, Cancel contract after 4 months",,,,internal,False,False,False,
P068,PLAN FILE: KINTONE Status,- office sent final cancel list to provider,"RETURN: Stop Contract within 4 months | Returned item from old customer, Cancel contract within 4 months",,,,internal,False,False,False,
P069,PLAN FILE: KINTONE Status,- office sent final cancel list to provider,OTHER KINTONE STATUS | MEANING | Action done/completed,,,,internal,False,False,False,
P070,PLAN FILE: KINTONE Status,- office sent final cancel list to provider,IN USE: Staff's Rental Item | Signal is IN USE and Active; Currently use by MUR Japan staff for rent,,,,internal,False,False,False,
P071,PLAN FILE: KINTONE Status,- office sent final cancel list to provider,IN USE: HIKARI's Rental Item | Signal is IN USE and Active; Currently use by HIKARI customer for free while waiting for Installation of Home Wifit,,,,internal,False,False,False,
P072,PLAN FILE: KINTONE Status,- office sent final cancel list to provider,RE-ISSUING: Sim Delivered | Office received new sim and reset customer information | Re-issue SIm Reset,,,,internal,False,False,False,
P073,PLAN FILE: KINTONE Status,- office sent final cancel list to provider,RE-ISSUE | Office rechecked signal and reset customer information | Re-issue SIm Reset,,,,internal,False,False,False,
P074,PLAN FILE: KINTONE Status,- office sent final cancel list to provider,DATA INCOMPLETE | office sent re-issue final list to provider | Re-issue SIm Reset,,,,internal,False,False,False,
P075,PLAN FILE: KINTONE Status,- office sent final cancel list to provider,NOT AVAILABLE: DATA INCORRECT | office sent re-issue final list to provider | Re-issue SIm Reset,,,,internal,False,False,False,
P076,PLAN FILE: KINTONE Status,- office sent final cancel list to provider,NOT AVAILABLE: SIM EXPIRED | office sent re-issue final list to provider | Re-issue SIm Reset,,,,internal,False,False,False,
P077,PLAN FILE: KINTONE Status,- office sent final cancel list to provider,"CHANGE: Battery Problem | Sent new item due to Prob R, battery problem | Returned item from old customer",,,,internal,False,False,False,
P078,PLAN FILE: KINTONE Status,- office sent final cancel list to provider,"CHANGE: Device Problem | Sent new item due to Prob R, device problem | Returned item from old customer",,,,internal,False,False,False,
P079,PLAN FILE: KINTONE Status,- office sent final cancel list to provider,"CHANGE: PUK Lock | Sent new item due to Prob R, PUK lock problem | Returned item from old customer",,,,internal,False,False,False,
P080,PLAN FILE: KINTONE Status,- office sent final cancel list to provider,"CHANGE: Internet not working | Sent new item due to Prob R, internet not working prblem | Returned item from old customer",,,,internal,False,False,False,
P081,PLAN FILE: KINTONE Status,- office sent final cancel list to provider,"CHANGE: Outside the internet area | Sent new item due to Prob R, Outside the internet area problem | Returned item from old customer",,,,internal,False,False,False,
P082,PLAN FILE: KINTONE Status,- office sent final cancel list to provider,"CHANGE: 300gb Plan | Sent new item due to Prob R, discontinued 300GB plan | Returned item from old customer",,,,internal,False,False,False,
